id,ground_truth,classifier_verdict,fs_max_sent_score,fs_ratio,fs_gated,uqlm_confidence,uqlm_avg_entailment,uqlm_support_count,uqlm_contradict_count,uqlm_nei_count,uqlm_support_frac,uqlm_contradict_frac,uqlm_nei_frac,fs_num_atoms,fs_supported_atoms,fs_contradicted_atoms,fs_neither_atoms,claim_word_count,claim_char_count,fs_support,fs_contradict,fs_nei,uqlm_support,uqlm_contradict,uqlm_nei,ensemble_support,ensemble_contradict,ensemble_nei,nli_support,nli_contradict,nli_nei
791,SUPPORT,SUPPORT,9.118,1.0,0.0,1.0,0.8338,6.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,54.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
844,SUPPORT,SUPPORT,2.261,1.0,0.0,1.0,0.9849,6.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,95.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1176,SUPPORT,SUPPORT,7.266,1.0,0.0,1.0,0.8934,6.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,11.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
123,CONTRADICT,CONTRADICT,8.601,0.5,0.0,1.0,0.6649,0.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,13.0,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
910,CONTRADICT,CONTRADICT,4.442,0.3333,0.0,1.0,0.922,0.0,6.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,18.0,107.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
494,NEI,SUPPORT,13.462,1.0,0.0,1.0,0.7911,6.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,18.0,97.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
317,CONTRADICT,CONTRADICT,6.322,1.0,0.0,1.0,0.9031,0.0,6.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,11.0,86.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
663,SUPPORT,SUPPORT,4.332,1.0,0.0,1.0,0.8761,6.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,16.0,111.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
313,NEI,NEI,7.612,0.0,0.0,1.0,0.7523,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,13.0,85.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
209,NEI,NEI,3.495,1.0,0.0,1.0,0.8542,0.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0,54.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
